"","aggregated_202105_202204$member_casual","aggregated_202105_202204$day_of_week","aggregated_202105_202204$ride_length"
"1","casual","Sunday",36.8354394550292
"2","member","Sunday",14.8709710674577
"3","casual","Monday",30.913384083045
"4","member","Monday",12.4882881750737
"5","casual","Tuesday",26.3369769333136
"6","member","Tuesday",12.0520627994233
"7","casual","Wednesday",26.9620592685692
"8","member","Wednesday",12.2153789706454
"9","casual","Thursday",27.757465027867
"10","member","Thursday",12.2373282560593
"11","casual","Friday",29.0920342517959
"12","member","Friday",12.6889461515382
"13","casual","Saturday",34.0585941556233
"14","member","Saturday",14.5894966287566
